VersionInfo.ProductName,VersionInfo.ProductVersion,VersionInfo.FileVersion,OpenArrayPlate.SerialNumber,OpenArrayPlate.ChipTransformsApplied,Assay.Assay ID,Assay.Assay Number,Assay.TaqMan Assay ID,Assay.Assay Name,Assay.Assay Type,Assay.Assay Pool,Assay.AmplificationCurveDyeNames.0,ThroughHole.Ct,ThroughHole.Concentration,ThroughHole.ConcentrationUnit,ThroughHole.Outlier,ThroughHole.CtConfidence,ThroughHole.Tm,ThroughHole.TmData.Area,ThroughHole.Address,ThroughHole.IntensityData.ROX.1,ThroughHole.IntensityData.FAMTP.1,SamplePlate.SerialNumber,SampleInfo.SampleID,SampleInfo.Description,SampleInfo.Dilution
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,001310_mmu-miR-540,138,TM001310,mmu-miR-540,TARG,A,FAMTP,40,,,FALSE,85.96588635,,0,A10e2,333.683952,2982.088784,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,001310_mmu-miR-540,138,TM001310,mmu-miR-540,TARG,A,FAMTP,40,,,FALSE,47.07309948,,0,A10e2,300.2854683,3362.295844,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,002521_mmu-miR-509-3p,139,TM002521,mmu-miR-509-3p,TARG,A,FAMTP,40,,,FALSE,78.7588218,,0,A10e3,310.9709059,3550.616137,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,002521_mmu-miR-509-3p,139,TM002521,mmu-miR-509-3p,TARG,A,FAMTP,40,,,FALSE,0,,0,A10e3,245.3811402,3516.811138,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,002561_mmu-miR-540-5p,140,TM002561,mmu-miR-540-5p,TARG,A,FAMTP,40,,,FALSE,33.15518584,,0,A10e4,312.083182,3186.827146,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,002561_mmu-miR-540-5p,140,TM002561,mmu-miR-540-5p,TARG,A,FAMTP,40,,,FALSE,0,,0,A10e4,259.3243231,3294.966017,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,002520_mmu-miR-509-5p,141,TM002520,mmu-miR-509-5p,TARG,A,FAMTP,40,,,FALSE,39.99022423,,0,A10e5,302.6635385,3339.205466,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,002520_mmu-miR-509-5p,141,TM002520,mmu-miR-509-5p,TARG,A,FAMTP,40,,,FALSE,26.25159274,,0,A10e5,260.707887,3310.259686,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,001284_hsa-miR-542-3p,142,TM001284,hsa-miR-542-3p,TARG,A,FAMTP,21.376,,,FALSE,516.158464,,0,A10e6,307.9725806,3245.65944,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,001284_hsa-miR-542-3p,142,TM001284,hsa-miR-542-3p,TARG,A,FAMTP,40,,,FALSE,297.0083727,,0,A10e6,258.1257364,3501.043609,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,002549_mmu-miR-511,143,TM002549,mmu-miR-511,TARG,A,FAMTP,40,,,FALSE,54.33054611,,0,A10e7,304.6606389,2944.264406,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,002549_mmu-miR-511,143,TM002549,mmu-miR-511,TARG,A,FAMTP,40,,,FALSE,80.9640447,,0,A10e7,254.8691263,2983.830887,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,001952_mmu-miR-666,144,TM001952,mmu-miR-666,TARG,A,FAMTP,40,,,FALSE,130.4927776,,0,A10e8,293.1025954,2450.827273,GNP81,A1,ctrl,1
